ESTID	GeneID	GOTerm	Description	GOTermDescription
YML098W	TAF13	GO:0003677	TFIID subunit (19 kDa)	DNA binding
YML099C	ARG81	GO:0003677	Zinc finger transcription factor involved in arginine-responsive genes	DNA binding
YML113W	DAT1	GO:0003677	DNA binding protein that recognizes oligo(dA).oligo(dT) tracts	DNA binding
YML127W	RSC9	GO:0003677	Component of the RSC chromatin remodeling complex	DNA binding
YMR005W	TAF4	GO:0003677	TFIID subunit (48 kDa)	DNA binding
YMR016C	SOK2	GO:0003677	Nuclear protein that negatively regulates pseudohyphal differentiation	DNA binding
YMR019W	STB4	GO:0003677	Putative transcription factor	DNA binding
YMR021C	MAC1	GO:0003677	Copper-sensing transcription factor	DNA binding
YMR037C	MSN2	GO:0003677	Stress-responsive transcriptional activator	DNA binding
YMR039C	SUB1	GO:0003677	Transcriptional regulator	DNA binding
YMR042W	ARG80	GO:0003677	Transcription factor involved in regulating arginine-responsive genes	DNA binding
YMR043W	MCM1	GO:0003677	Transcription factor	DNA binding
YMR044W	IOC4	GO:0003677	Member of a complex (Isw1b) with Isw1p and Ioc2p	DNA binding
YMR048W	CSM3	GO:0003677	Replication fork associated factor	DNA binding
YMR072W	ABF2	GO:0003677	Mitochondrial DNA-binding protein	DNA binding
YMR074C	SDD2	GO:0003677	Protein with homology to human PDCD5	DNA binding
YMR078C	CTF18	GO:0003677	Subunit of a complex with Ctf8p	DNA binding
YMR080C	NAM7	GO:0003677	ATP-dependent RNA helicase of the SFI superfamily	DNA binding
YMR094W	CTF13	GO:0003677	Subunit of the CBF3 complex	DNA binding
YMR106C	YKU80	GO:0003677	Subunit of telomeric Ku complex (Yku70p-Yku80p)	DNA binding
YMR136W	GAT2	GO:0003677	Protein containing GATA family zinc finger motifs	DNA binding
YMR168C	CEP3	GO:0003677	Essential kinetochore protein	DNA binding
YMR176W	ECM5	GO:0003677	Subunit of the Snt2C complex	DNA binding
YMR182C	RGM1	GO:0003677	Putative zinc finger DNA binding transcription factor	DNA binding
YMR190C	SGS1	GO:0003677	RecQ family nucleolar DNA helicase	DNA binding
YMR201C	RAD14	GO:0003677	Protein that recognizes and binds damaged DNA during NER	DNA binding
YMR213W	CEF1	GO:0003677	Essential splicing factor	DNA binding
YMR228W	MTF1	GO:0003677	Mitochondrial RNA polymerase specificity factor	DNA binding
YMR241W	YHM2	GO:0003677	Citrate and oxoglutarate carrier protein	DNA binding
YMR280C	CAT8	GO:0003677	Zinc cluster transcriptional activator	DNA binding
YMR284W	YKU70	GO:0003677	Subunit of the telomeric Ku complex (Yku70p-Yku80p)	DNA binding
YNL007C	SIS1	GO:0003677	Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p	DNA binding
YNL027W	CRZ1	GO:0003677	"Transcription factor, activates transcription of stress response genes"	DNA binding
YNL030W	HHF2	GO:0003677	Histone H4	DNA binding
YNL031C	HHT2	GO:0003677	Histone H3	DNA binding
YNL039W	BDP1	GO:0003677	Essential subunit of RNA polymerase III transcription factor (TFIIIB)	DNA binding
YNL068C	FKH2	GO:0003677	Forkhead family transcription factor	DNA binding
YNL085W	MKT1	GO:0003677	Protein similar to nucleases that forms a complex with Pbp1p	DNA binding
YNL088W	TOP2	GO:0003677	Topoisomerase II	DNA binding
YNL102W	POL1	GO:0003677	Catalytic subunit of the DNA polymerase I alpha-primase complex	DNA binding
YNL103W	MET4	GO:0003677	Leucine-zipper transcriptional activator	DNA binding
YNL113W	RPC19	GO:0003677	RNA polymerase subunit AC19	DNA binding
YNL151C	RPC31	GO:0003677	RNA polymerase III subunit C31	DNA binding
YNL167C	SKO1	GO:0003677	Basic leucine zipper transcription factor of the ATF/CREB family	DNA binding
YNL206C	RTT106	GO:0003677	Histone chaperone	DNA binding
YNL215W	IES2	GO:0003677	Protein that associates with the INO80 chromatin remodeling complex	DNA binding
YNL216W	RAP1	GO:0003677	Essential DNA-binding transcription regulator that binds many loci	DNA binding
YNL218W	MGS1	GO:0003677	Protein with DNA-dependent ATPase and ssDNA annealing activities	DNA binding
YNL239W	LAP3	GO:0003677	Cysteine aminopeptidase with homocysteine-thiolactonase activity	DNA binding
YNL248C	RPA49	GO:0003677	RNA polymerase I subunit A49	DNA binding
YNL262W	POL2	GO:0003677	Catalytic subunit of DNA polymerase (II) epsilon	DNA binding
YNL273W	TOF1	GO:0003677	Subunit of a replication-pausing checkpoint complex	DNA binding
YNL290W	RFC3	GO:0003677	Subunit of heteropentameric Replication factor C (RF-C)	DNA binding
YNL312W	RFA2	GO:0003677	Subunit of heterotrimeric Replication Protein A (RPA)	DNA binding
YNR063W	YNR063W	GO:0003677	Putative zinc-cluster protein of unknown function	DNA binding
YOL005C	RPB11	GO:0003677	RNA polymerase II subunit B12.5	DNA binding
YOL006C	TOP1	GO:0003677	Topoisomerase I	DNA binding
YOL012C	HTZ1	GO:0003677	Histone variant H2AZ	DNA binding
YOL028C	YAP7	GO:0003677	Putative basic leucine zipper (bZIP) transcription factor	DNA binding
YOL067C	RTG1	GO:0003677	Transcription factor (bHLH) involved in interorganelle communication	DNA binding
YOL089C	HAL9	GO:0003677	Putative transcription factor containing a zinc finger	DNA binding
YOL090W	MSH2	GO:0003677	Protein that binds to DNA mismatches	DNA binding
YOL094C	RFC4	GO:0003677	Subunit of heteropentameric Replication factor C (RF-C)	DNA binding
YOL095C	HMI1	GO:0003677	Mitochondrial inner membrane localized ATP-dependent DNA helicase	DNA binding
YOL108C	INO4	GO:0003677	Transcription factor involved in phospholipid synthesis	DNA binding
YOL116W	MSN1	GO:0003677	Transcriptional activator	DNA binding
YOL145C	CTR9	GO:0003677	Component of the Paf1p complex involved in transcription elongation	DNA binding
YOR005C	DNL4	GO:0003677	DNA ligase required for nonhomologous end-joining (NHEJ)	DNA binding
YOR028C	CIN5	GO:0003677	Basic leucine zipper (bZIP) transcription factor of the yAP-1 family	DNA binding
YOR032C	HMS1	GO:0003677	bHLH protein with similarity to myc-family transcription factors	DNA binding
YOR033C	EXO1	GO:0003677	5'-3' exonuclease and flap-endonuclease	DNA binding
YOR038C	HIR2	GO:0003677	Subunit of HIR nucleosome assembly complex	DNA binding
YOR077W	RTS2	GO:0003677	Basic zinc-finger protein	DNA binding
YOR110W	TFC7	GO:0003677	RNA pol III transcription initiation factor complex (TFIIIC) subunit	DNA binding
YOR113W	AZF1	GO:0003677	Zinc-finger transcription factor	DNA binding
YOR116C	RPO31	GO:0003677	RNA polymerase III largest subunit C160	DNA binding
YOR140W	SFL1	GO:0003677	Transcriptional repressor and activator	DNA binding
YOR144C	ELG1	GO:0003677	Subunit of an alternative replication factor C complex	DNA binding
YOR151C	RPB2	GO:0003677	RNA polymerase II second largest subunit B150	DNA binding
YOR162C	YRR1	GO:0003677	Zn2-Cys6 zinc-finger transcription factor	DNA binding
YOR172W	YRM1	GO:0003677	Zinc finger transcription factor involved in multidrug resistance	DNA binding
YOR207C	RET1	GO:0003677	Second-largest subunit of RNA polymerase III	DNA binding
YOR210W	RPB10	GO:0003677	RNA polymerase subunit ABC10-beta	DNA binding
YOR217W	RFC1	GO:0003677	Subunit of heteropentameric Replication factor C (RF-C)	DNA binding
YOR224C	RPB8	GO:0003677	RNA polymerase subunit ABC14.5	DNA binding
YOR258W	HNT3	GO:0003677	DNA 5' AMP hydrolase involved in DNA repair	DNA binding
YOR290C	SNF2	GO:0003677	Catalytic subunit of the SWI/SNF chromatin remodeling complex	DNA binding
YOR298C-A	MBF1	GO:0003677	Transcriptional coactivator	DNA binding
YOR304W	ISW2	GO:0003677	ATP-dependent DNA translocase involved in chromatin remodeling	DNA binding
YOR330C	MIP1	GO:0003677	Mitochondrial DNA polymerase gamma	DNA binding
YOR337W	TEA1	GO:0003677	Ty1 enhancer activator involved in Ty enhancer-mediated transcription	DNA binding
YOR338W	YOR338W	GO:0003677	Putative protein of unknown function	DNA binding
YOR341W	RPA190	GO:0003677	RNA polymerase I largest subunit A190	DNA binding
YOR344C	TYE7	GO:0003677	Serine-rich protein that contains a bHLH DNA binding motif	DNA binding
YOR346W	REV1	GO:0003677	Deoxycytidyl transferase	DNA binding
YOR358W	HAP5	GO:0003677	Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex	DNA binding
YOR363C	PIP2	GO:0003677	"Autoregulatory, oleate-activated transcription factor"	DNA binding
YOR368W	RAD17	GO:0003677	Checkpoint protein	DNA binding
YOR380W	RDR1	GO:0003677	Transcriptional repressor involved in regulating multidrug resistance	DNA binding
YOR386W	PHR1	GO:0003677	DNA photolyase involved in photoreactivation	DNA binding
YPL007C	TFC8	GO:0003677	Subunit of RNA polymerase III transcription initiation factor complex	DNA binding
YPL008W	CHL1	GO:0003677	Probable DNA helicase	DNA binding
YPL016W	SWI1	GO:0003677	Subunit of the SWI/SNF chromatin remodeling complex	DNA binding
YPL022W	RAD1	GO:0003677	Single-stranded DNA endonuclease (with Rad10p)	DNA binding
YPL024W	RMI1	GO:0003677	Subunit of the RecQ (Sgs1p) - Topo III (Top3p) complex	DNA binding
YPL038W	MET31	GO:0003677	Zinc-finger DNA-binding transcription factor	DNA binding
YPL049C	DIG1	GO:0003677	MAP kinase-responsive inhibitor of the Ste12p transcription factor	DNA binding
YPL075W	GCR1	GO:0003677	Transcriptional activator of genes involved in glycolysis	DNA binding
YPL082C	MOT1	GO:0003677	Essential protein involved in regulation of transcription	DNA binding
YPL089C	RLM1	GO:0003677	MADS-box transcription factor	DNA binding
YPL127C	HHO1	GO:0003677	"Histone H1, linker histone with roles in meiosis and sporulation"	DNA binding
YPL128C	TBF1	GO:0003677	Telobox-containing general regulatory factor	DNA binding
YPL133C	RDS2	GO:0003677	Transcription factor involved in regulating gluconeogenesis	DNA binding
YPL167C	REV3	GO:0003677	Catalytic subunit of DNA polymerase zeta	DNA binding
YPL177C	CUP9	GO:0003677	Homeodomain-containing transcriptional repressor	DNA binding
YPL194W	DDC1	GO:0003677	DNA damage checkpoint protein	DNA binding
YPL230W	USV1	GO:0003677	Putative transcription factor containing a C2H2 zinc finger	DNA binding
YPL248C	GAL4	GO:0003677	DNA-binding transcription factor required for activating GAL genes	DNA binding
YPR008W	HAA1	GO:0003677	Transcriptional activator involved in adaptation to weak acid stress	DNA binding
YPR010C	RPA135	GO:0003677	RNA polymerase I second largest subunit A135	DNA binding
YPR013C	CMR3	GO:0003677	Putative zinc finger protein	DNA binding
YPR019W	MCM4	GO:0003677	Essential helicase component of heterohexameric MCM2-7 complexes	DNA binding
YPR022C	SDD4	GO:0003677	"Putative transcription factor, as suggested by computational analysis"	DNA binding
YPR052C	NHP6A	GO:0003677	High-mobility group (HMG) protein	DNA binding
YPR065W	ROX1	GO:0003677	Heme-dependent repressor of hypoxic genes	DNA binding
YPR104C	FHL1	GO:0003677	Regulator of ribosomal protein (RP) transcription	DNA binding
YPR110C	RPC40	GO:0003677	RNA polymerase subunit AC40	DNA binding
YPR135W	CTF4	GO:0003677	Chromatin-associated protein	DNA binding
YPR162C	ORC4	GO:0003677	Subunit of the origin recognition complex (ORC)	DNA binding
YPR175W	DPB2	GO:0003677	Second largest subunit of DNA polymerase II (DNA polymerase epsilon)	DNA binding
YPR179C	HDA3	GO:0003677	Subunit of the HDA1 histone deacetylase complex	DNA binding
YPR186C	PZF1	GO:0003677	Transcription factor IIIA (TFIIIA)	DNA binding
YPR187W	RPO26	GO:0003677	RNA polymerase subunit ABC23	DNA binding
YPR190C	RPC82	GO:0003677	RNA polymerase III subunit C82	DNA binding
YPR196W	YPR196W	GO:0003677	Putative maltose-responsive transcription factor	DNA binding
YPR199C	ARR1	GO:0003677	Transcriptional activator of the basic leucine zipper (bZIP) family	DNA binding
YGL167C	PMR1	GO:0006811	High affinity Ca2+/Mn2+ P-type ATPase	Ion transport
YGL255W	ZRT1	GO:0006811	High-affinity zinc transporter of the plasma membrane	Ion transport
YGR020C	VMA7	GO:0006811	Subunit F of the V1 peripheral membrane domain of V-ATPase	Ion transport
YGR217W	CCH1	GO:0006811	Voltage-gated high-affinity calcium channel	Ion transport
YHL040C	ARN1	GO:0006811	ARN family transporter for siderophore-iron chelates	Ion transport
YHL047C	ARN2	GO:0006811	Transporter	Ion transport
YHR026W	VMA16	GO:0006811	Subunit c'' of the vacuolar ATPase	Ion transport
YHR048W	YHK8	GO:0006811	Presumed antiporter of the major facilitator superfamily	Ion transport
YHR175W	CTR2	GO:0006811	Low-affinity copper transporter of the vacuolar membrane	Ion transport
YIL023C	YKE4	GO:0006811	Zinc transporter	Ion transport
YIL114C	POR2	GO:0006811	Putative mitochondrial porin (voltage-dependent anion channel)	Ion transport
YIL121W	QDR2	GO:0006811	Plasma membrane transporter of the major facilitator superfamily	Ion transport
YJL093C	TOK1	GO:0006811	Outward-rectifier potassium channel of the plasma membrane	Ion transport
YJL094C	KHA1	GO:0006811	Putative K+/H+ antiporter	Ion transport
YJL129C	TRK1	GO:0006811	Component of the Trk1p-Trk2p potassium transport system	Ion transport
YJR040W	GEF1	GO:0006811	Voltage-gated chloride channel	Ion transport
YJR121W	ATP2	GO:0006811	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase	Ion transport
YKL016C	ATP7	GO:0006811	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase	Ion transport
YKL080W	VMA5	GO:0006811	Subunit C of the V1 peripheral membrane domain of V-ATPase	Ion transport
YKL175W	ZRT3	GO:0006811	Vacuolar membrane zinc transporter	Ion transport
YKL220C	FRE2	GO:0006811	Ferric reductase and cupric reductase	Ion transport
YKR050W	TRK2	GO:0006811	Component of the Trk1p-Trk2p potassium transport system	Ion transport
YKR106W	GEX2	GO:0006811	Proton:glutathione antiporter	Ion transport
YLL005C	SPO75	GO:0006811	Meiosis-specific protein of unknown function	Ion transport
YLL048C	YBT1	GO:0006811	Transporter of the ATP-binding cassette (ABC) family	Ion transport
YLL051C	FRE6	GO:0006811	Putative ferric reductase with similarity to Fre2p	Ion transport
YLR034C	SMF3	GO:0006811	Putative divalent metal ion transporter involved in iron homeostasis	Ion transport
YLR047C	FRE8	GO:0006811	Protein with sequence similarity to iron/copper reductases	Ion transport
YLR083C	EMP70	GO:0006811	Protein with a role in cellular adhesion and filamentous growth	Ion transport
YLR130C	ZRT2	GO:0006811	Low-affinity zinc transporter of the plasma membrane	Ion transport
YLR138W	NHA1	GO:0006811	Na+/H+ antiporter	Ion transport
YLR214W	FRE1	GO:0006811	Ferric reductase and cupric reductase	Ion transport
YLR241W	CSC1	GO:0006811	Calcium permeable gated cation channel	Ion transport
YLR295C	ATP14	GO:0006811	Subunit h of the F0 sector of mitochondrial F1F0 ATP synthase	Ion transport
YLR411W	CTR3	GO:0006811	High-affinity copper transporter of the plasma membrane	Ion transport
YLR447C	VMA6	GO:0006811	Subunit d of the V0 integral membrane domain of V-ATPase	Ion transport
YML081C-A	ATP18	GO:0006811	Subunit of the mitochondrial F1F0 ATP synthase	Ion transport
YMR054W	STV1	GO:0006811	Subunit a of the vacuolar-ATPase V0 domain	Ion transport
YMR058W	FET3	GO:0006811	Ferro-O2-oxidoreductase	Ion transport
YMR177W	MMT1	GO:0006811	Putative metal transporter involved in mitochondrial iron accumulation	Ion transport
YMR203W	TOM40	GO:0006811	Component of the TOM (translocase of outer membrane) complex	Ion transport
YMR243C	ZRC1	GO:0006811	Vacuolar membrane zinc transporter	Ion transport
YMR266W	RSN1	GO:0006811	Membrane protein of unknown function	Ion transport
YMR301C	ATM1	GO:0006811	Mitochondrial inner membrane ATP-binding cassette (ABC) transporter	Ion transport
YMR319C	FET4	GO:0006811	Low-affinity Fe(II) transporter of the plasma membrane	Ion transport
YNL055C	POR1	GO:0006811	Mitochondrial porin (voltage-dependent anion channel)	Ion transport
YNL259C	ATX1	GO:0006811	Cytosolic copper metallochaperone	Ion transport
YNL275W	BOR1	GO:0006811	Boron efflux transporter of the plasma membrane	Ion transport
YNL291C	MID1	GO:0006811	N-glycosylated integral membrane protein of the ER and plasma membrane	Ion transport
YNL321W	VNX1	GO:0006811	Calcium/H+ antiporter localized to the endoplasmic reticulum membrane	Ion transport
YNR002C	ATO2	GO:0006811	Putative transmembrane protein involved in export of ammonia	Ion transport
YNR060W	FRE4	GO:0006811	Ferric reductase	Ion transport
YOL084W	PHM7	GO:0006811	Protein of unknown function	Ion transport
YOL152W	FRE7	GO:0006811	Putative ferric reductase with similarity to Fre2p	Ion transport
YOL158C	ENB1	GO:0006811	Endosomal ferric enterobactin transporter	Ion transport
YOR087W	YVC1	GO:0006811	Vacuolar cation channel	Ion transport
YOR270C	VPH1	GO:0006811	Subunit a of vacuolar-ATPase V0 domain	Ion transport
YOR271C	FSF1	GO:0006811	Putative protein	Ion transport
YOR332W	VMA4	GO:0006811	Subunit E of the V1 domain of the vacuolar H+-ATPase (V-ATPase)	Ion transport
YOR334W	MRS2	GO:0006811	Mitochondrial inner membrane Mg(2+) channel	Ion transport
YOR381W	FRE3	GO:0006811	Ferric reductase	Ion transport
YOR382W	FIT2	GO:0006811	Mannoprotein that is incorporated into the cell wall	Ion transport
YOR383C	FIT3	GO:0006811	Mannoprotein that is incorporated into the cell wall	Ion transport
YOR384W	FRE5	GO:0006811	Putative ferric reductase with similarity to Fre2p	Ion transport
YPL036W	PMA2	GO:0006811	Plasma membrane H+-ATPase	Ion transport
YPL060W	MFM1	GO:0006811	Mitochondrial inner membrane magnesium transporter	Ion transport
YPL078C	ATP4	GO:0006811	Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase	Ion transport
YPL224C	MMT2	GO:0006811	Putative metal transporter involved in mitochondrial iron accumulation	Ion transport
YPL234C	VMA11	GO:0006811	Vacuolar ATPase V0 domain subunit c'	Ion transport
YPL271W	ATP15	GO:0006811	Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase	Ion transport
YPR020W	ATP20	GO:0006811	Subunit g of the mitochondrial F1F0 ATP synthase	Ion transport
YPR036W	VMA13	GO:0006811	Subunit H of the V1 peripheral membrane domain of V-ATPase	Ion transport
YPR124W	CTR1	GO:0006811	High-affinity copper transporter of plasma membrane	Ion transport
YPR128C	ANT1	GO:0006811	Peroxisomal adenine nucleotide transporter	Ion transport
YPR201W	ARR3	GO:0006811	Plasma membrane metalloid/H+ antiporter	Ion transport
YHR007C	ERG11	GO:0006629	Lanosterol 14-alpha-demethylase	Lipid metabolism
YHR042W	NCP1	GO:0006629	NADP-cytochrome P450 reductase	Lipid metabolism
YHR072W	ERG7	GO:0006629	Lanosterol synthase	Lipid metabolism
YHR100C	GEP4	GO:0006629	Mitochondrial phosphatidylglycerophosphatase (PGP phosphatase)	Lipid metabolism
YHR123W	EPT1	GO:0006629	"sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase"	Lipid metabolism
YHR190W	ERG9	GO:0006629	Farnesyl-diphosphate farnesyl transferase (squalene synthase)	Lipid metabolism
YIL002C	INP51	GO:0006629	"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase"	Lipid metabolism
YIL009W	FAA3	GO:0006629	Long chain fatty acyl-CoA synthetase	Lipid metabolism
YIL049W	DFG10	GO:0006629	Probable polyprenol reductase	Lipid metabolism
YIL160C	POT1	GO:0006629	3-ketoacyl-CoA thiolase with broad chain length specificity	Lipid metabolism
YJL083W	TAX4	GO:0006629	EH domain-containing protein	Lipid metabolism
YJL097W	PHS1	GO:0006629	Essential 3-hydroxyacyl-CoA dehydratase of the ER membrane	Lipid metabolism
YJL134W	LCB3	GO:0006629	Long-chain base-1-phosphate phosphatase	Lipid metabolism
YJL153C	INO1	GO:0006629	Inositol-3-phosphate synthase	Lipid metabolism
YJL167W	ERG20	GO:0006629	Farnesyl pyrophosphate synthetase	Lipid metabolism
YJL196C	ELO1	GO:0006629	"Elongase I, medium-chain acyl elongase"	Lipid metabolism
YJR073C	OPI3	GO:0006629	Methylene-fatty-acyl-phospholipid synthase	Lipid metabolism
YJR098C	YJR098C	GO:0006629	Putative protein of unknown function	Lipid metabolism
YJR107W	LIH1	GO:0006629	Putative lipase	Lipid metabolism
YKL004W	AUR1	GO:0006629	Phosphatidylinositol:ceramide phosphoinositol transferase	Lipid metabolism
YKL008C	LAC1	GO:0006629	Ceramide synthase component	Lipid metabolism
YKL051W	SFK1	GO:0006629	Plasma membrane protein that may act to generate normal levels of PI4P	Lipid metabolism
YKL055C	OAR1	GO:0006629	Mitochondrial 3-oxoacyl-[acyl-carrier-protein] reductase	Lipid metabolism
YKL140W	TGL1	GO:0006629	Steryl ester hydrolase	Lipid metabolism
YKL182W	FAS1	GO:0006629	Beta subunit of fatty acid synthetase	Lipid metabolism
YKL192C	ACP1	GO:0006629	Mitochondrial matrix acyl carrier protein	Lipid metabolism
YKR009C	FOX2	GO:0006629	3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase	Lipid metabolism
YKR019C	IRS4	GO:0006629	EH domain-containing protein	Lipid metabolism
YKR031C	SPO14	GO:0006629	Phospholipase D	Lipid metabolism
YKR053C	YSR3	GO:0006629	Dihydrosphingosine 1-phosphate phosphatase	Lipid metabolism
YKR067W	GPT2	GO:0006629	Glycerol-3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase	Lipid metabolism
YKR089C	TGL4	GO:0006629	Multifunctional lipase/hydrolase/phospholipase	Lipid metabolism
YLL012W	YEH1	GO:0006629	Steryl ester hydrolase	Lipid metabolism
YLR020C	YEH2	GO:0006629	Steryl ester hydrolase	Lipid metabolism
YLR056W	ERG3	GO:0006629	C-5 sterol desaturase	Lipid metabolism
YLR099C	ICT1	GO:0006629	Lysophosphatidic acid acyltransferase	Lipid metabolism
YLR100W	ERG27	GO:0006629	3-keto sterol reductase	Lipid metabolism
YLR118C	TML25	GO:0006629	Acyl-protein thioesterase responsible for depalmitoylation of Gpa1p	Lipid metabolism
YLR133W	CKI1	GO:0006629	Choline kinase	Lipid metabolism
YLR189C	ATG26	GO:0006629	UDP-glucose:sterol glucosyltransferase	Lipid metabolism
YLR242C	ARV1	GO:0006629	Cortical ER protein	Lipid metabolism
YLR260W	LCB5	GO:0006629	Minor sphingoid long-chain base kinase	Lipid metabolism
YLR284C	ECI1	GO:0006629	"Peroxisomal delta3,delta2-enoyl-CoA isomerase"	Lipid metabolism
YLR372W	ELO3	GO:0006629	Elongase	Lipid metabolism
YLR380W	CSR1	GO:0006629	Phosphatidylinositol transfer protein	Lipid metabolism
YLR404W	SEI1	GO:0006629	Seipin involved in lipid droplet (LD) assembly	Lipid metabolism
YLR450W	HMG2	GO:0006629	HMG-CoA reductase	Lipid metabolism
YML008C	ERG6	GO:0006629	Delta(24)-sterol C-methyltransferase	Lipid metabolism
YML042W	CAT2	GO:0006629	Carnitine acetyl-CoA transferase	Lipid metabolism
YML059C	NTE1	GO:0006629	Serine esterase	Lipid metabolism
YML075C	HMG1	GO:0006629	HMG-CoA reductase	Lipid metabolism
YML126C	ERG13	GO:0006629	3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase	Lipid metabolism
YMR006C	PLB2	GO:0006629	Phospholipase B (lysophospholipase) involved in lipid metabolism	Lipid metabolism
YMR008C	PLB1	GO:0006629	Phospholipase B (lysophospholipase) involved in lipid metabolism	Lipid metabolism
YMR015C	ERG5	GO:0006629	C-22 sterol desaturase	Lipid metabolism
YMR165C	PAH1	GO:0006629	Mg2+-dependent phosphatidate (PA) phosphatase	Lipid metabolism
YMR202W	ERG2	GO:0006629	C-8 sterol isomerase	Lipid metabolism
YMR207C	HFA1	GO:0006629	Mitochondrial acetyl-coenzyme A carboxylase	Lipid metabolism
YMR208W	ERG12	GO:0006629	Mevalonate kinase	Lipid metabolism
YMR220W	ERG8	GO:0006629	Phosphomevalonate kinase	Lipid metabolism
YMR246W	FAA4	GO:0006629	Long chain fatty acyl-CoA synthetase	Lipid metabolism
YMR272C	SCS7	GO:0006629	Sphingolipid alpha-hydroxylase	Lipid metabolism
YMR296C	LCB1	GO:0006629	Component of serine palmitoyltransferase	Lipid metabolism
YMR298W	LIP1	GO:0006629	Ceramide synthase subunit	Lipid metabolism
YMR313C	TGL3	GO:0006629	Bifunctional triacylglycerol lipase and LPE acyltransferase	Lipid metabolism
YNL012W	SPO1	GO:0006629	Meiosis-specific prospore protein	Lipid metabolism
YNL094W	APP1	GO:0006629	"Phosphatidate phosphatase, converts phosphatidate to diacylglycerol"	Lipid metabolism
YNL106C	INP52	GO:0006629	Polyphosphatidylinositol phosphatase	Lipid metabolism
YNL130C	CPT1	GO:0006629	Cholinephosphotransferase	Lipid metabolism
YNL169C	PSD1	GO:0006629	Phosphatidylserine decarboxylase of the mitochondrial inner membrane	Lipid metabolism
YNL280C	ERG24	GO:0006629	C-14 sterol reductase	Lipid metabolism
YNR008W	LRO1	GO:0006629	Acyltransferase that catalyzes diacylglycerol esterification	Lipid metabolism
YNR016C	ACC1	GO:0006629	"Acetyl-CoA carboxylase, biotin containing enzyme"	Lipid metabolism
YNR043W	MVD1	GO:0006629	Mevalonate pyrophosphate decarboxylase	Lipid metabolism
YOL002C	IZH2	GO:0006629	Plasma membrane receptor for plant antifungal osmotin	Lipid metabolism
YOL011W	PLB3	GO:0006629	Phospholipase B (lysophospholipase) involved in lipid metabolism	Lipid metabolism
YOL032W	OPI10	GO:0006629	Protein with a possible role in phospholipid biosynthesis	Lipid metabolism
YOL108C	INO4	GO:0006629	Transcription factor involved in phospholipid synthesis	Lipid metabolism
YOR022C	DDL1	GO:0006629	DDHD domain-containing phospholipase A1	Lipid metabolism
YOR059C	LPL1	GO:0006629	Phospholipase	Lipid metabolism
YOR081C	TGL5	GO:0006629	Bifunctional triacylglycerol lipase and LPA acyltransferase	Lipid metabolism
YOR126C	IAH1	GO:0006629	Isoamyl acetate-hydrolyzing esterase	Lipid metabolism
YOR171C	LCB4	GO:0006629	Sphingoid long-chain base kinase	Lipid metabolism
YOR175C	ALE1	GO:0006629	Broad-specificity lysophospholipid acyltransferase	Lipid metabolism
YOR180C	DCI1	GO:0006629	Peroxisomal protein	Lipid metabolism
YOR221C	MCT1	GO:0006629	Predicted malonyl-CoA:ACP transferase	Lipid metabolism
YOR237W	HES1	GO:0006629	Protein implicated in the regulation of ergosterol biosynthesis	Lipid metabolism
YOR245C	DGA1	GO:0006629	Diacylglycerol acyltransferase	Lipid metabolism
YOR317W	FAA1	GO:0006629	Long chain fatty acyl-CoA synthetase	Lipid metabolism
YPL006W	NCR1	GO:0006629	Vacuolar membrane protein	Lipid metabolism
YPL103C	FMP30	GO:0006629	Protein with a role in maintaining mitochondrial morphology	Lipid metabolism
YPL110C	GDE1	GO:0006629	Glycerophosphocholine (GroPCho) phosphodiesterase	Lipid metabolism
YPL117C	IDI1	GO:0006629	Isopentenyl diphosphate:dimethylallyl diphosphate isomerase	Lipid metabolism
YPL145C	KES1	GO:0006629	One of seven members of the yeast oxysterol binding protein family	Lipid metabolism
YPL148C	PPT2	GO:0006629	Phosphopantetheine:protein transferase (PPTase)	Lipid metabolism
YPL206C	PGC1	GO:0006629	Phosphatidylglycerol phospholipase C	Lipid metabolism
YPL231W	FAS2	GO:0006629	Alpha subunit of fatty acid synthetase	Lipid metabolism
YPL268W	PLC1	GO:0006629	Phospholipase C	Lipid metabolism
YPR113W	PIS1	GO:0006629	Phosphatidylinositol synthase	Lipid metabolism
YPR139C	LOA1	GO:0006629	Lysophosphatidic acid acyltransferase	Lipid metabolism
YGL070C	RPB9	GO:0006366	RNA polymerase II subunit B12.6	Transcription
YGL112C	TAF6	GO:0006366	Subunit (60 kDa) of TFIID and SAGA complexes	Transcription
YGL127C	SOH1	GO:0006366	Subunit of the RNA polymerase II mediator complex	Transcription
YGL150C	INO80	GO:0006366	ATPase and nucleosome spacing factor	Transcription
YGL151W	NUT1	GO:0006366	Component of the RNA polymerase II mediator complex	Transcription
