ESTID	GeneID	GOTerm	Description	GOTermDescription
YDL108W	KIN28	GO:0006366	"Serine/threonine protein kinase, subunit of transcription factor TFIIH"	Transcription
YDL140C	RPO21	GO:0006366	RNA polymerase II largest subunit B220	Transcription
YDR145W	TAF12	GO:0006366	Subunit (61/68 kDa) of TFIID and SAGA complexes	Transcription
YDR167W	TAF10	GO:0006366	Subunit (145 kDa) of TFIID and SAGA complexes	Transcription
YDR311W	TFB1	GO:0006366	Subunit of TFIIH and nucleotide excision repair factor 3 complexes	Transcription
YDR392W	SPT3	GO:0006366	Subunit of the SAGA and SAGA-like transcriptional regulatory complexes	Transcription
YDR404C	RPB7	GO:0006366	RNA polymerase II subunit B16	Transcription
YDR460W	TFB3	GO:0006366	Subunit of TFIIH and nucleotide excision repair factor 3 complexes	Transcription
YDR527W	RBA50	GO:0006366	Protein involved in transcription	Transcription
YER139C	RTR1	GO:0006366	CTD phosphatase	Transcription
YER148W	SPT15	GO:0006366	TATA-binding protein (TBP)	Transcription
YER171W	RAD3	GO:0006366	5' to 3' DNA helicase	Transcription
YGL058W	RAD6	GO:0006366	Ubiquitin-conjugating enzyme (E2)	Transcription
